sheet,index,filename,x,y,w,h
sheet_ru_1,1,sheet_ru_1_element_001.png,11,34,170,175
sheet_ru_1,2,sheet_ru_1_element_002.png,173,34,170,175
sheet_ru_1,3,sheet_ru_1_element_003.png,335,34,168,175
sheet_ru_1,4,sheet_ru_1_element_004.png,496,34,171,175
sheet_ru_1,5,sheet_ru_1_element_005.png,658,34,174,175
sheet_ru_1,6,sheet_ru_1_element_006.png,859,39,159,138
sheet_ru_1,7,sheet_ru_1_element_007.png,1013,39,161,138
sheet_ru_1,8,sheet_ru_1_element_008.png,1170,39,163,138
sheet_ru_1,9,sheet_ru_1_element_009.png,1329,39,164,138
sheet_ru_1,10,sheet_ru_1_element_010.png,1494,38,166,139
sheet_ru_1,11,sheet_ru_1_element_011.png,12,203,331,111
sheet_ru_1,12,sheet_ru_1_element_012.png,340,203,246,111
sheet_ru_1,13,sheet_ru_1_element_013.png,581,203,252,111
sheet_ru_1,14,sheet_ru_1_element_014.png,859,174,183,141
sheet_ru_1,15,sheet_ru_1_element_015.png,1037,174,193,141
sheet_ru_1,16,sheet_ru_1_element_016.png,1225,174,220,141
sheet_ru_1,17,sheet_ru_1_element_017.png,1440,174,220,141
sheet_ru_1,18,sheet_ru_1_element_018.png,11,364,110,116
sheet_ru_1,19,sheet_ru_1_element_019.png,117,364,111,116
sheet_ru_1,20,sheet_ru_1_element_020.png,224,364,110,116
sheet_ru_1,21,sheet_ru_1_element_021.png,329,364,109,116
sheet_ru_1,22,sheet_ru_1_element_022.png,433,364,110,116
sheet_ru_1,23,sheet_ru_1_element_023.png,537,364,109,116
sheet_ru_1,24,sheet_ru_1_element_024.png,640,364,108,80
sheet_ru_1,25,sheet_ru_1_element_025.png,653,378,83,88
sheet_ru_1,26,sheet_ru_1_element_026.png,743,364,108,116
sheet_ru_1,27,sheet_ru_1_element_027.png,862,360,139,124
sheet_ru_1,28,sheet_ru_1_element_028.png,993,361,138,123
sheet_ru_1,29,sheet_ru_1_element_029.png,1123,361,138,123
sheet_ru_1,30,sheet_ru_1_element_030.png,1254,361,139,123
sheet_ru_1,31,sheet_ru_1_element_031.png,1386,360,140,124
sheet_ru_1,32,sheet_ru_1_element_032.png,1519,361,142,123
sheet_ru_1,33,sheet_ru_1_element_033.png,27,560,89,90
sheet_ru_1,34,sheet_ru_1_element_034.png,143,560,89,90
sheet_ru_1,35,sheet_ru_1_element_035.png,240,560,137,127
sheet_ru_1,36,sheet_ru_1_element_036.png,386,560,90,129
sheet_ru_1,37,sheet_ru_1_element_037.png,503,560,90,90
sheet_ru_1,38,sheet_ru_1_element_038.png,632,561,90,90
sheet_ru_1,39,sheet_ru_1_element_039.png,736,561,90,90
sheet_ru_1,40,sheet_ru_1_element_040.png,840,561,90,90
sheet_ru_1,41,sheet_ru_1_element_041.png,944,561,91,90
sheet_ru_1,42,sheet_ru_1_element_042.png,1048,561,90,90
sheet_ru_1,43,sheet_ru_1_element_043.png,1152,561,91,90
sheet_ru_1,44,sheet_ru_1_element_044.png,1273,564,101,118
sheet_ru_1,45,sheet_ru_1_element_045.png,1369,564,101,118
sheet_ru_1,46,sheet_ru_1_element_046.png,1464,564,101,118
sheet_ru_1,47,sheet_ru_1_element_047.png,1559,564,101,118
sheet_ru_1,48,sheet_ru_1_element_048.png,1049,641,88,50
sheet_ru_1,49,sheet_ru_1_element_049.png,11,726,153,93
sheet_ru_1,50,sheet_ru_1_element_050.png,155,726,153,92
sheet_ru_1,51,sheet_ru_1_element_051.png,300,726,157,92
sheet_ru_1,52,sheet_ru_1_element_052.png,448,726,156,92
sheet_ru_1,53,sheet_ru_1_element_053.png,596,726,154,92
sheet_ru_1,54,sheet_ru_1_element_054.png,768,728,325,71
sheet_ru_1,55,sheet_ru_1_element_055.png,1095,730,89,53
sheet_ru_1,56,sheet_ru_1_element_056.png,1374,735,196,48
sheet_ru_1,57,sheet_ru_1_element_057.png,768,788,325,65
sheet_ru_1,58,sheet_ru_1_element_058.png,1095,775,89,54
sheet_ru_1,59,sheet_ru_1_element_059.png,1375,780,132,49
sheet_ru_1,60,sheet_ru_1_element_060.png,11,841,128,92
sheet_ru_1,61,sheet_ru_1_element_061.png,133,841,128,92
sheet_ru_1,62,sheet_ru_1_element_062.png,255,841,132,92
sheet_ru_1,63,sheet_ru_1_element_063.png,380,841,140,92
sheet_ru_1,64,sheet_ru_1_element_064.png,514,841,149,92
sheet_ru_1,65,sheet_ru_1_element_065.png,768,843,325,81
sheet_ru_1,66,sheet_ru_1_element_066.png,1095,831,164,50
sheet_ru_1,67,sheet_ru_1_element_067.png,1374,826,97,49
sheet_ru_1,68,sheet_ru_1_element_068.png,1095,871,216,51
sheet_ru_1,69,sheet_ru_1_element_069.png,1375,873,235,49
sheet_ru_2,1,sheet_ru_2_element_001.png,43,8,169,81
sheet_ru_2,2,sheet_ru_2_element_002.png,207,15,269,69
sheet_ru_2,3,sheet_ru_2_element_003.png,1204,21,299,61
sheet_ru_2,4,sheet_ru_2_element_004.png,12,132,195,174
sheet_ru_2,5,sheet_ru_2_element_005.png,200,132,194,174
sheet_ru_2,6,sheet_ru_2_element_006.png,387,132,196,174
sheet_ru_2,7,sheet_ru_2_element_007.png,576,131,196,175
sheet_ru_2,8,sheet_ru_2_element_008.png,765,131,195,175
sheet_ru_2,9,sheet_ru_2_element_009.png,953,132,195,174
sheet_ru_2,10,sheet_ru_2_element_010.png,1141,132,195,174
sheet_ru_2,11,sheet_ru_2_element_011.png,1330,131,194,175
sheet_ru_2,12,sheet_ru_2_element_012.png,14,358,104,100
sheet_ru_2,13,sheet_ru_2_element_013.png,118,358,105,100
sheet_ru_2,14,sheet_ru_2_element_014.png,223,358,106,100
sheet_ru_2,15,sheet_ru_2_element_015.png,330,358,106,100
sheet_ru_2,16,sheet_ru_2_element_016.png,437,358,106,100
sheet_ru_2,17,sheet_ru_2_element_017.png,544,358,107,100
sheet_ru_2,18,sheet_ru_2_element_018.png,652,358,115,100
sheet_ru_2,19,sheet_ru_2_element_019.png,814,358,120,100
sheet_ru_2,20,sheet_ru_2_element_020.png,933,358,117,100
sheet_ru_2,21,sheet_ru_2_element_021.png,1050,358,111,100
sheet_ru_2,22,sheet_ru_2_element_022.png,1160,358,116,100
sheet_ru_2,23,sheet_ru_2_element_023.png,1275,358,116,100
sheet_ru_2,24,sheet_ru_2_element_024.png,1390,358,122,100
sheet_ru_2,25,sheet_ru_2_element_025.png,14,545,105,100
sheet_ru_2,26,sheet_ru_2_element_026.png,117,545,106,100
sheet_ru_2,27,sheet_ru_2_element_027.png,220,545,106,100
sheet_ru_2,28,sheet_ru_2_element_028.png,321,545,106,100
sheet_ru_2,29,sheet_ru_2_element_029.png,424,545,110,100
sheet_ru_2,30,sheet_ru_2_element_030.png,532,545,109,100
sheet_ru_2,31,sheet_ru_2_element_031.png,634,545,124,125
sheet_ru_2,32,sheet_ru_2_element_032.png,764,545,107,100
sheet_ru_2,33,sheet_ru_2_element_033.png,868,545,107,100
sheet_ru_2,34,sheet_ru_2_element_034.png,971,545,106,100
