index,filename,x,y,w,h
1,sheet_ru_1_element_001.png,11,34,170,175
2,sheet_ru_1_element_002.png,173,34,170,175
3,sheet_ru_1_element_003.png,335,34,168,175
4,sheet_ru_1_element_004.png,496,34,171,175
5,sheet_ru_1_element_005.png,658,34,174,175
6,sheet_ru_1_element_006.png,859,39,159,138
7,sheet_ru_1_element_007.png,1013,39,161,138
8,sheet_ru_1_element_008.png,1170,39,163,138
9,sheet_ru_1_element_009.png,1329,39,164,138
10,sheet_ru_1_element_010.png,1494,38,166,139
11,sheet_ru_1_element_011.png,12,203,331,111
12,sheet_ru_1_element_012.png,340,203,246,111
13,sheet_ru_1_element_013.png,581,203,252,111
14,sheet_ru_1_element_014.png,859,174,183,141
15,sheet_ru_1_element_015.png,1037,174,193,141
16,sheet_ru_1_element_016.png,1225,174,220,141
17,sheet_ru_1_element_017.png,1440,174,220,141
18,sheet_ru_1_element_018.png,11,364,110,116
19,sheet_ru_1_element_019.png,117,364,111,116
20,sheet_ru_1_element_020.png,224,364,110,116
21,sheet_ru_1_element_021.png,329,364,109,116
22,sheet_ru_1_element_022.png,433,364,110,116
23,sheet_ru_1_element_023.png,537,364,109,116
24,sheet_ru_1_element_024.png,640,364,108,80
25,sheet_ru_1_element_025.png,653,378,83,88
26,sheet_ru_1_element_026.png,743,364,108,116
27,sheet_ru_1_element_027.png,862,360,139,124
28,sheet_ru_1_element_028.png,993,361,138,123
29,sheet_ru_1_element_029.png,1123,361,138,123
30,sheet_ru_1_element_030.png,1254,361,139,123
31,sheet_ru_1_element_031.png,1386,360,140,124
32,sheet_ru_1_element_032.png,1519,361,142,123
33,sheet_ru_1_element_033.png,27,560,89,90
34,sheet_ru_1_element_034.png,143,560,89,90
35,sheet_ru_1_element_035.png,240,560,137,127
36,sheet_ru_1_element_036.png,386,560,90,129
37,sheet_ru_1_element_037.png,503,560,90,90
38,sheet_ru_1_element_038.png,632,561,90,90
39,sheet_ru_1_element_039.png,736,561,90,90
40,sheet_ru_1_element_040.png,840,561,90,90
41,sheet_ru_1_element_041.png,944,561,91,90
42,sheet_ru_1_element_042.png,1048,561,90,90
43,sheet_ru_1_element_043.png,1152,561,91,90
44,sheet_ru_1_element_044.png,1273,564,101,118
45,sheet_ru_1_element_045.png,1369,564,101,118
46,sheet_ru_1_element_046.png,1464,564,101,118
47,sheet_ru_1_element_047.png,1559,564,101,118
48,sheet_ru_1_element_048.png,1049,641,88,50
49,sheet_ru_1_element_049.png,11,726,153,93
50,sheet_ru_1_element_050.png,155,726,153,92
51,sheet_ru_1_element_051.png,300,726,157,92
52,sheet_ru_1_element_052.png,448,726,156,92
53,sheet_ru_1_element_053.png,596,726,154,92
54,sheet_ru_1_element_054.png,768,728,325,71
55,sheet_ru_1_element_055.png,1095,730,89,53
56,sheet_ru_1_element_056.png,1374,735,196,48
57,sheet_ru_1_element_057.png,768,788,325,65
58,sheet_ru_1_element_058.png,1095,775,89,54
59,sheet_ru_1_element_059.png,1375,780,132,49
60,sheet_ru_1_element_060.png,11,841,128,92
61,sheet_ru_1_element_061.png,133,841,128,92
62,sheet_ru_1_element_062.png,255,841,132,92
63,sheet_ru_1_element_063.png,380,841,140,92
64,sheet_ru_1_element_064.png,514,841,149,92
65,sheet_ru_1_element_065.png,768,843,325,81
66,sheet_ru_1_element_066.png,1095,831,164,50
67,sheet_ru_1_element_067.png,1374,826,97,49
68,sheet_ru_1_element_068.png,1095,871,216,51
69,sheet_ru_1_element_069.png,1375,873,235,49
